"","Beds","FBaths","Garage_Spaces","HBaths","DOM","Housing_Older_Persons_Act","Membership_Purch_Rqd","Pets_Allowed","Sale_Price","SqFt_Liv_Area","Style","Waterfront_Property","Year_Built","Zip_Code","Assoc_Fee_Paid","fecha","Marble","Vinyl","Clay","Terrazzo","Parquet","Tile","Ceramic","Carpeted","Wood","None","Street_Parking","One_Space","Two_Or_More_Spaces","Valet_Parking","No_Leasing","Ok_To_Lease","No_Lease_Onest_Year_Owned","No_Restrictions","Tax_Informationcat","Waterfront","East_Of_Us_One","West_Of_Us_One","On_Golf_Course","Penthouse","Corner_Unit","Direct_Ocean","Intracoastal_View","Golf_View","Canal","Ocean_View"
"86",3,3,2,"0",448,"No HOPA","0","Yes",1725000,242,"T52-Townhouse Condo","Yes","1997",33139,0,"12","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0"
"87",4,3,0,"1",564,"No HOPA","0","Yes",271990,1371,"T52-Townhouse Condo","No","2019",33032,960,"12","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"88",0,1,1,"0",1122,"Verified","0","Yes",290000,664,"C42-Condo 5+ Stories","Yes","2003",33160,10776,"8","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"89",2,2,1,"0",704,"No HOPA","0","No",350000,1522,"C42-Condo 5+ Stories","Yes","1980",33180,13704,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","1"
"90",3,2,2,"0",560,"No HOPA","0","No",418000,199,"C42-Condo 5+ Stories","Yes","1981",33180,13656,"11","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
"91",3,4,2,"0",341,"No HOPA","0","Yes",805000,2928,"C42-Condo 5+ Stories","No","2007",33137,31596,"4","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"92",3,3,2,"1",514,"No HOPA","0","Yes",2500000,2884,"C42-Condo 5+ Stories","Yes","2018",33133,43512,"9","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1"
"93",4,3,1,"1",247,"No HOPA","0","Yes",730000,2516,"T52-Townhouse Condo","No","2019",33145,0,"5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"94",2,2,1,"0",292,"Unverified","0","Yes",265000,1081,"C42-Condo 5+ Stories","No","2005",33180,7056,"2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"95",1,1,0,"1",431,"No HOPA","0","Yes",1685000,1151,"C42-Condo 5+ Stories","Yes","2009",33139,28356,"12","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
