,Street_Name,X,Beds,Baths,Garage_Spaces,Baths.1,City_Name,Closing_Date,Complex_Name,County,DOM,Sale_Price,Street_Number_Numeric,Unit_Floor_Location,Waterfront_Description,Year_Built,Zip_Code,longitude,latitude
630,Brickell Ave,1003.0,2.0,2.0,1.0,0.0,Miami,2020-03-11,The Palace,Miami-Dade County,143.0,613000.0,1541.0,2704.0,Bay Front,1981.0,33129.0,-80.19679959999999,25.7553254
240,32nd street,1176.0,2.0,2.0,1.0,0.0,Miami,2020-01-31,PARAISO BAY,Miami-Dade County,1.0,612000.0,650.0,21.0,Bay Front,2018.0,33137.0,-118.2826601,34.0245001
1412,New River Dr E,1036.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-03-18,Watergarden,Broward County,85.0,610000.0,347.0,6.0,River Front,2004.0,33301.0,-80.1398632,26.117303600000003
1175,Galt Ocean Dr,1107.0,2.0,2.0,2.0,0.0,Fort Lauderdale,2020-02-28,Playa del Mar,Broward County,239.0,610000.0,3900.0,16.0,Ocean Front,1975.0,33308.0,-80.0985962,26.1747161
677,Brickell Bay Dr,1113.0,2.0,2.0,1.0,0.0,Miami,2019-12-09,JADE RESIDENCES AT BRICKE,Miami-Dade County,69.0,610000.0,1331.0,2.0,Bay Front,2004.0,33131.0,-80.1898079,25.7629285
597,BRICKELL AV,1041.0,2.0,2.0,0.0,0.0,Miami,2020-03-09,ICON BRICKELL III,Miami-Dade County,35.0,610000.0,485.0,57.0,Bay Front,2009.0,33131.0,-80.19679959999999,25.7553254
643,Brickell Ave,909.0,2.0,2.0,1.0,0.0,Miami,2020-01-24,Icon Brickell Tower1,Miami-Dade County,206.0,610000.0,465.0,37.0,Other Waterfront,2008.0,33131.0,-80.19679959999999,25.7553254
744,Coast Ave,1004.0,3.0,2.0,2.0,1.0,Miami,2019-12-09,TWO MIDTOWN MIAMI CONDO,Miami-Dade County,29.0,606000.0,3470.0,10.0,Bay Front,2007.0,33137.0,-80.1480338,25.9874863
757,Collins Ave,1143.0,2.0,2.0,1.0,0.0,Sunny Isles Beach,2020-04-30,SANDS POINTE,Miami-Dade County,67.0,602550.0,16711.0,3.0,Ocean Front,1996.0,33160.0,-80.1210954,25.8632138
614,Brickell Ave,992.0,2.0,2.0,1.0,0.0,Miami,2020-03-04,Icon Brickell,Miami-Dade County,170.0,600000.0,495.0,7.0,Bay Front,2009.0,33131.0,-80.19679959999999,25.7553254
976,Collins Ave,797.0,2.0,2.0,1.0,1.0,Sunny Isles Beach,2020-01-06,Millennium,Miami-Dade County,271.0,600000.0,18671.0,4.0,Ocean Front,1999.0,33160.0,-80.1210954,25.8632138
1578,Ocean Dr,921.0,1.0,2.0,1.0,0.0,Hallandale Beach,2020-03-02,THE BEACH CLUB,Broward County,875.0,600000.0,1830.0,36.0,Ocean Front,2005.0,33009.0,-80.1311819,25.7779458
1720,Pompano Beach Blvd,1159.0,3.0,3.0,1.0,0.0,Pompano Beach,2020-02-20,SEA MONARCH,Broward County,73.0,600000.0,111.0,6.0,Ocean Front,1970.0,33062.0,-80.0893494,26.234930300000002
1800,Turnberry Way,845.0,4.0,4.0,2.0,1.0,Aventura,2020-02-04,TURNBERRY TOWERS,Miami-Dade County,0.0,600000.0,19355.0,1.0,Intracoastal Front,1981.0,33180.0,-80.1270361,25.9568957
437,Bay Rd,1080.0,2.0,2.0,2.0,0.0,Sunny Isles Beach,2020-03-09,GOLDEN BAY CLUB CONDO,Miami-Dade County,55.0,600000.0,17050.0,9.0,Intracoastal Front,1999.0,33160.0,-83.97495550000001,43.4835711
1512,Ocean Blvd,1228.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-02,PLAZA EAST,Broward County,54.0,599000.0,4300.0,7.0,Ocean Front,1967.0,33308.0,-78.86726479999999,33.70369960000001
46,14th Ave,990.0,2.0,2.0,1.0,1.0,Wilton Manors,2019-12-23,Wilton Station,Broward County,200.0,598000.0,2631.0,4.0,Canal Width 1-80 Feet,2006.0,33334.0,-91.59939490000001,42.0393075
493,Bayshore Dr,1094.0,3.0,3.0,1.0,0.0,Fort Lauderdale,2020-03-27,BAYSHORE TOWERS,Broward County,123.0,595000.0,511.0,5.0,Intracoastal Front,1971.0,33304.0,-81.7704,26.128629999999998
1805,Turnberry Way,1022.0,2.0,2.0,1.0,1.0,Aventura,2020-02-20,Marina Tower,Miami-Dade County,180.0,595000.0,19500.0,12.0,Intracoastal Front,1982.0,33180.0,-80.1270361,25.9568957
1136,Galt Ocean Dr,1251.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-03-25,PLAZA SOUTH,Broward County,6.0,590000.0,4280.0,18.0,Ocean Front,1970.0,33308.0,-80.0985962,26.1747161
1149,Galt Ocean Dr,1077.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-01-06,Ocean Riviera Condominium,Broward County,44.0,590000.0,3550.0,10.0,Ocean Front,1971.0,33308.0,-80.0985962,26.1747161
622,Brickell Ave,2649.0,2.0,2.0,1.0,0.0,Miami,2020-02-20,Icon Brickell Tower 1,Miami-Dade County,61.0,590000.0,465.0,4.0,Bay Front,2008.0,33131.0,-80.19679959999999,25.7553254
619,Brickell Ave,1051.0,2.0,2.0,1.0,0.0,Miami,2020-01-10,Icon Brickell Tower 2,Miami-Dade County,173.0,590000.0,495.0,38.0,Bay Front,2009.0,33131.0,-80.19679959999999,25.7553254
1695,Point Pl,941.0,2.0,2.0,0.0,1.0,Aventura,2020-04-10,ATLANTIC II,Miami-Dade County,113.0,590000.0,21150.0,30.0,Intracoastal Front,1996.0,33180.0,-89.51479609999998,43.0557487
1250,Hillsboro Mile,1146.0,2.0,2.0,2.0,0.0,Hillsboro Beach,2020-03-20,MEDITERRANEA,Broward County,50.0,590000.0,1228.0,1.0,Intracoastal Front,1999.0,33062.0,-80.0797901,26.2828521
487,Bayshore Dr,999.0,2.0,2.0,1.0,0.0,Miami,2020-01-17,Grove Towers,Miami-Dade County,50.0,588000.0,2843.0,6.0,Bay Front,1982.0,33133.0,-81.7704,26.128629999999998
1439,Ocean Blvd,1120.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-30,Plaza East,Broward County,81.0,585000.0,4300.0,20.0,Ocean Front,1967.0,33308.0,-78.86726479999999,33.70369960000001
59,14th Street Cswy,1168.0,2.0,2.0,1.0,0.0,Pompano Beach,2020-03-19,Voyager Condo,Broward County,90.0,585000.0,2900.0,3.0,Intracoastal Front,1981.0,33062.0,-80.0935418,26.250133899999998
768,Collins Ave,1027.0,1.0,1.0,1.0,1.0,Sunny Isles Beach,2020-03-27,Trump Royale,Miami-Dade County,248.0,580000.0,18201.0,42.0,Ocean Front,2008.0,33160.0,-80.1210954,25.8632138
624,Brickell Ave,1184.0,2.0,2.0,2.0,0.0,Miami,2019-12-23,The Palace Condominium,Miami-Dade County,281.0,580000.0,1541.0,5.0,Bay Front,1981.0,33129.0,-80.19679959999999,25.7553254
444,BAY RD,1331.0,2.0,2.0,0.0,0.0,Sunny Isles Beach,2019-12-31,Golden Bay Club,Miami-Dade County,314.0,580000.0,17050.0,9.0,Intracoastal Front,1999.0,33160.0,-83.97495550000001,43.4835711
1604,Ocean Dr,1106.0,1.0,1.0,1.0,0.0,Miami Beach,2020-05-22,ROYAL ATLANTIC,Miami-Dade County,64.0,580000.0,465.0,8.0,Ocean Front,1969.0,33139.0,-80.1311819,25.7779458
1155,Galt Ocean Dr,1263.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-01-10,Plaza South,Broward County,186.0,580000.0,4280.0,5.0,Ocean Front,1970.0,33308.0,-80.0985962,26.1747161
201,28th St,813.0,3.0,2.0,1.0,1.0,Miami,2019-12-31,Icon Bay,Miami-Dade County,393.0,580000.0,460.0,0.0,Bay Front,2015.0,33137.0,-73.9935092,40.7470686
645,Brickell Ave,1151.0,2.0,2.0,1.0,0.0,Miami,2020-01-15,Brickell Place II,Miami-Dade County,160.0,575000.0,1925.0,17.0,Bay Front,1980.0,33129.0,-80.19679959999999,25.7553254
1846,West Ave,1200.0,1.0,1.0,1.0,0.0,Miami Beach,2020-04-07,THE BENTLEY BAY CONDO,Miami-Dade County,1.0,575000.0,540.0,14.0,Bay Front,2004.0,33139.0,-94.16546170000001,36.06807020000001
1830,West Ave,894.0,2.0,2.0,1.0,0.0,Miami Beach,2020-05-18,THE WAVERLY,Miami-Dade County,242.0,575000.0,1330.0,22.0,Bay Front,2001.0,33139.0,-94.16546170000001,36.06807020000001
482,Bayshore Dr,1249.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-11,BAYSHORE TOWERS,Broward County,65.0,575000.0,511.0,8.0,Intracoastal Front,1971.0,33304.0,-81.7704,26.128629999999998
424,Bay Harbor Dr,872.0,2.0,2.0,1.0,1.0,Bay Harbor Islands,2019-12-03,BLAIR HOUSE,Miami-Dade County,271.0,575000.0,9102.0,8.0,Bay Front,1970.0,33154.0,-86.27242070000001,39.8495783
787,Collins Ave,1123.0,2.0,2.0,1.0,0.0,Miami Beach,2020-01-23,CARRIAGE CLUB SOUTH,Miami-Dade County,78.0,575000.0,5001.0,14.0,Ocean Front,1967.0,33140.0,-80.1210954,25.8632138
869,Collins Ave,808.0,3.0,2.0,1.0,1.0,Surfside,2020-01-06,MARBELLA,Miami-Dade County,255.0,575000.0,9341.0,6.0,Ocean Front,1989.0,33154.0,-80.1210954,25.8632138
1402,New River Dr,3544.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-06,WATERGARDEN,Broward County,1.0,575000.0,347.0,28.0,River Front,2004.0,33301.0,-77.52891240000001,34.4372373
915,Collins Ave,1309.0,2.0,2.0,2.0,1.0,Miami Beach,2019-12-13,The Carriage House Condo,Miami-Dade County,56.0,575000.0,5401.0,10.0,Ocean Front,1967.0,33140.0,-80.1210954,25.8632138
653,Brickell Ave,1209.0,2.0,2.0,1.0,0.0,Miami,2020-02-20,ICON BRICKELL NO TWO,Miami-Dade County,55.0,574000.0,495.0,23.0,Bay Front,2009.0,33131.0,-80.19679959999999,25.7553254
1689,Poinciana Dr,1214.0,3.0,2.0,1.0,1.0,Sunny Isles Beach,2020-04-06,Poinciana,Miami-Dade County,88.0,570000.0,393.0,4.0,Intracoastal Front,1981.0,33160.0,-80.111423,26.1158899
485,Bayshore Dr,1272.0,2.0,2.0,1.0,0.0,Miami,2020-01-24,Paramount Bay Condo,Miami-Dade County,43.0,570000.0,2020.0,29.0,Other Waterfront,2010.0,33137.0,-81.7704,26.128629999999998
1144,Galt Ocean Dr,1227.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2020-03-02,Playa del Mar,Broward County,8.0,565000.0,3900.0,3.0,Ocean Front,1975.0,33308.0,-80.0985962,26.1747161
1667,Ocean Lane Dr,1038.0,2.0,2.0,1.0,0.0,Key Biscayne,2020-03-20,Commodore Club South,Miami-Dade County,432.0,565000.0,199.0,8.0,Ocean Access,1974.0,33149.0,-80.1599873,25.6992375
1765,Sunny Isles Blvd,1017.0,3.0,2.0,1.0,1.0,Sunny Isles Beach,2020-01-28,400 SUNNY ISLES,Miami-Dade County,211.0,565000.0,400.0,5.0,Intracoastal Front,2015.0,33160.0,-80.1374728,25.9274603
1202,Grove Isle Dr,1102.0,2.0,2.0,1.0,0.0,Miami,2020-03-24,Grove Isle Condomonium,Miami-Dade County,133.0,565000.0,1.0,3.0,Bay Front,1979.0,33133.0,-80.2191965,25.7357749
1346,Las Olas Blvd,1274.0,3.0,2.0,1.0,1.0,Fort Lauderdale,2020-03-09,Marine Tower,Broward County,143.0,560000.0,2500.0,7.0,Intracoastal Front,1970.0,33301.0,-80.12399520000001,26.119597600000002
1503,Ocean Blvd,1275.0,2.0,2.0,1.0,0.0,Lauderdale By The Sea,2020-05-26,SEA RANCH CLUB A,Broward County,67.0,560000.0,5100.0,15.0,Ocean Front,1979.0,33308.0,-78.86726479999999,33.70369960000001
1649,Ocean Dr,1185.0,2.0,2.0,1.0,0.0,Hollywood,2020-02-24,The Wave,Broward County,247.0,560000.0,2501.0,5.0,Ocean Front,1968.0,33019.0,-80.1311819,25.7779458
1409,New River Dr E,1178.0,3.0,2.0,1.0,0.0,Fort Lauderdale,2020-03-11,Watergarden,Broward County,171.0,560000.0,347.0,24.0,River Front,2004.0,33301.0,-80.1398632,26.117303600000003
1244,Hidden Bay Dr.,1000.0,2.0,2.0,1.0,1.0,Aventura,2019-12-18,Hidden Bay,Miami-Dade County,194.0,560000.0,3370.0,20.0,Bay Front,2000.0,33180.0,-70.93231159999999,41.6013989
579,Biscayne Blvd,1203.0,3.0,2.0,1.0,0.0,Miami,2020-02-26,50 biscayne,Miami-Dade County,101.0,555000.0,50.0,34.0,Bay Front,2007.0,33132.0,-80.1694305,25.8758273
362,7th,1042.0,2.0,2.0,1.0,1.0,Miami,2019-12-05,Biscayne Beach Condo,Miami-Dade County,174.0,555000.0,2900.0,7.0,Bay Front,2017.0,33137.0,-94.27139609999999,39.0126194
1091,Edgewater Dr,1284.0,2.0,2.0,1.0,1.0,Coral Gables,2020-03-30,Gables Waterways,Miami-Dade County,123.0,555000.0,90.0,4.0,Canal Front,1969.0,33133.0,-81.4013364,28.5988912
1104,Federal Hwy,1148.0,2.0,2.0,1.0,0.0,Fort Lauderdale,2019-12-04,Riva Fort Lauderdale,Broward County,111.0,555000.0,1180.0,12.0,Canal Front,2018.0,33304.0,-80.2467281,27.187524600000003
1651,Ocean Dr,1118.0,2.0,2.0,1.0,0.0,Lauderdale By The Sea,2020-01-24,FOUNTAINHEAD CONDO,Broward County,107.0,552500.0,3900.0,10.0,Ocean Front,1965.0,33308.0,-80.1311819,25.7779458
1802,Turnberry Way,1145.0,2.0,2.0,2.0,0.0,Aventura,2020-03-23,TURNBERRY ISLE NORTH,Miami-Dade County,60.0,550000.0,19707.0,20.0,Intracoastal Front,1979.0,33180.0,-80.1270361,25.9568957
351,71st Pl,1327.0,3.0,3.0,2.0,0.0,Miami,2020-03-02,Lakeridge,Miami-Dade County,14.0,550000.0,4953.0,1.0,Lake Front,1978.0,33155.0,-87.66368059999999,41.764002000000005
1045,Country Club Dr,877.0,2.0,2.0,1.0,1.0,Aventura,2020-04-30,TERRACES NORTH TURNBERRY,Miami-Dade County,21.0,550000.0,20191.0,15.0,Bay Front,1983.0,33180.0,-96.0031662,36.171711
1241,Hidden Bay Dr,1282.0,3.0,2.0,1.0,1.0,Aventura,2020-04-24,Hidden Bay,Miami-Dade County,10.0,550000.0,3370.0,18.0,Bay Front,2000.0,33180.0,-70.93231159999999,41.6013989
1567,Ocean Dr,1189.0,2.0,2.0,1.0,0.0,Hollywood,2020-02-06,AQUARIUS,Broward County,95.0,550000.0,2751.0,15.0,Ocean Front,1973.0,33019.0,-80.1311819,25.7779458
1077,Crandon Blvd,1304.0,2.0,2.0,1.0,0.0,Key Biscayne,2020-02-27,BOTANICA,Miami-Dade County,14.0,550000.0,121.0,2.0,Bay Front,1981.0,33149.0,-80.1606948,25.7014888
